event_id,user_id,event_type,event_time
1,1,workout_start,2025-04-07 00:33:00
2,1,workout_end,2025-04-09 01:07:00
3,1,app_open,2025-04-11 14:22:00
4,1,workout_end,2025-04-12 15:23:00
5,1,app_open,2025-04-13 15:02:00
6,1,app_open,2025-04-14 01:21:00
7,1,app_open,2025-04-15 03:33:00
9,1,app_open,2025-04-16 12:07:00
10,1,workout_start,2025-04-18 18:57:00
12,1,workout_start,2025-04-23 14:36:00
13,1,workout_end,2025-04-26 15:00:00
14,1,workout_end,2025-04-29 13:01:00
15,1,workout_end,2025-05-01 08:51:00
16,2,workout_start,2025-04-02 00:18:00
18,2,app_open,2025-04-05 04:45:00
19,2,app_open,2025-04-05 13:26:00
20,2,workout_end,2025-04-06 17:52:00
21,2,app_open,2025-04-07 09:08:00
22,2,workout_end,2025-04-09 13:13:00
23,2,app_open,2025-04-11 11:34:00
24,2,app_open,2025-04-12 13:53:00
25,2,workout_end,2025-04-13 09:43:00
26,2,app_open,2025-04-16 08:50:00
27,2,workout_start,2025-04-17 11:28:00
28,2,workout_start,2025-04-19 09:13:00
29,2,app_open,2025-04-20 06:24:00
30,2,app_open,2025-04-21 04:36:00
32,2,workout_start,2025-04-25 10:12:00
33,2,app_open,2025-04-26 20:33:00
34,3,workout_start,2025-04-02 00:48:00
36,3,workout_start,2025-04-05 19:29:00
37,3,app_open,2025-04-07 01:48:00
38,3,app_open,2025-04-07 05:18:00
39,3,buy_subscription,2025-04-08 09:46:00
40,3,workout_start,2025-04-09 11:27:00
41,3,app_open,2025-04-09 16:52:00
42,3,app_open,2025-04-12 12:42:00
43,3,workout_start,2025-04-14 06:16:00
44,3,workout_start,2025-04-16 13:27:00
45,3,app_open,2025-04-19 01:27:00
46,4,app_open,2025-04-08 00:18:00
47,4,workout_end,2025-04-10 16:42:00
48,4,workout_start,2025-04-13 04:57:00
49,4,app_open,2025-04-13 06:27:00
50,4,workout_end,2025-04-14 03:20:00
51,4,app_open,2025-04-16 19:14:00
52,4,app_open,2025-04-18 18:38:00
53,4,workout_start,2025-04-19 09:37:00
54,4,workout_start,2025-04-21 06:08:00
55,4,app_open,2025-04-23 01:37:00
56,4,workout_end,2025-04-26 01:45:00
57,4,workout_end,2025-04-28 19:13:00
58,4,workout_end,2025-05-01 04:43:00
59,4,app_open,2025-05-01 13:49:00
60,4,workout_end,2025-05-02 20:37:00
61,4,workout_end,2025-05-05 13:18:00
62,4,workout_start,2025-05-08 02:35:00
63,4,workout_start,2025-05-10 18:17:00
64,5,app_open,2025-04-06 00:43:00
65,5,workout_end,2025-04-06 02:41:00
66,5,app_open,2025-04-06 08:15:00
68,5,workout_end,2025-04-09 03:28:00
69,5,workout_end,2025-04-11 04:59:00
70,5,app_open,2025-04-12 17:50:00
71,5,app_open,2025-04-14 02:22:00
72,5,app_open,2025-04-14 07:14:00
73,5,app_open,2025-04-17 07:25:00
74,5,workout_end,2025-04-19 03:44:00
75,5,workout_end,2025-04-19 19:29:00
76,5,app_open,2025-04-22 14:20:00
77,6,workout_end,2025-04-07 00:38:00
78,6,app_open,2025-04-08 20:06:00
79,6,workout_start,2025-04-09 07:43:00
80,6,workout_start,2025-04-11 11:39:00
81,6,workout_end,2025-04-12 06:20:00
82,6,app_open,2025-04-12 23:50:00
83,6,workout_start,2025-04-14 04:51:00
84,6,workout_end,2025-04-17 01:54:00
85,6,app_open,2025-04-19 23:04:00
86,6,workout_end,2025-04-21 13:46:00
87,6,workout_end,2025-04-22 08:29:00
88,6,workout_end,2025-04-25 08:38:00
89,6,workout_start,2025-04-28 09:29:00
90,6,workout_end,2025-04-30 17:25:00
91,6,workout_end,2025-05-01 09:06:00
92,6,app_open,2025-05-02 17:44:00
